fasta_id,best_hit_id
sp|A0A087WRI3|CFA77_MOUSE,7RRO_2
sp|A0A1B0GQX3|CTXD2_MOUSE,7KDP_B
sp|A0A5K7RLP0|MEIOS_MOUSE,6UPL_H
sp|A0AUV4|SMKY_MOUSE,6C9D_A
sp|A2A5N8|LMBL1_MOUSE,2RHU_A
sp|A2A8U2|TM201_MOUSE,6WJV_A
sp|A2A9G7|SHL2A_MOUSE,5M0W_A
sp|A2A9I7|DMRTB_MOUSE,4YJ0_C
sp|A2AGH6|MED12_MOUSE,7KPX_C
sp|A2AHG0|LZTS3_MOUSE,7DL2_D
sp|A2AKG8|FOCAD_MOUSE,5Y81_A
sp|A2AKK5|ACNT1_MOUSE,3HLK_B
sp|A2AMT1|BFSP1_MOUSE,7DL2_D
sp|A2AR50|RGPS1_MOUSE,4F7Z_A
sp|A2ARP1|VIP1_MOUSE,4NZN_A
sp|A2ASZ8|SCMC2_MOUSE,6GCI_A
sp|A2ATU0|DHTK1_MOUSE,5RW1_B
sp|A2AWA9|RBGP1_MOUSE,4NC6_A
sp|A2AWR3|LYCHS_MOUSE,7PE9_I
sp|A2BE28|LAS1L_MOUSE,6OF3_A
sp|A2CG49|KALRN_MOUSE,6YGN_A
sp|A2TJV2|PALM3_MOUSE,5IJN_Y
sp|A4Q9F0|TTLL7_MOUSE,4YLS_A
sp|A6H8H2|DEN4C_MOUSE,6EKK_B
sp|A8Y5H7|S14L1_MOUSE,4UYB_A
sp|B1AQJ2|UBP36_MOUSE,6TBM_Q
sp|B1AQL3|TM235_MOUSE,7RZ5_A
sp|B1ARI9|PRR29_MOUSE,3SR7_D
sp|B1AUH1|PTPRU_MOUSE,6J6U_A
sp|B1AXP6|TOM5_MOUSE,7CK6_I
sp|B2RPV6|MMRN1_MOUSE,5KCA_A
sp|B2RQA1|KCA10_MOUSE,7EJ1_D
sp|B2RXE2|SL9A5_MOUSE,7DSX_A
sp|B2RY83|HPSE2_MOUSE,5LA7_A
sp|B5X0G2|MUP17_MOUSE,1G85_A
sp|B7ZCC9|AGRG4_MOUSE,7D76_R
sp|B9EJV3|GRB1L_MOUSE,6VVO_A
sp|B9EK06|EXC1L_MOUSE,5M4Y_D
sp|C0HK80|ARXS2_MOUSE,7P2P_B
sp|D0QMC3|MNDAL_MOUSE,5Z7D_B
sp|D3YYM4|WDR72_MOUSE,7MQA_LR
sp|D3YZI9|PGBD5_MOUSE,6X68_C
sp|D3Z0R2|PPR36_MOUSE,7DVQ_8
sp|D3Z1D3|CEFIP_MOUSE,3MZL_B
sp|D3Z4S3|PTRD1_MOUSE,1XTY_B
sp|D3Z5T1|CCD78_MOUSE,7VOP_f
sp|D3Z6Q9|BIN2_MOUSE,4AVM_A
sp|D3Z7H8|CILP2_MOUSE,7A5O_D
sp|E9PUQ8|DGKD_MOUSE,1R79_A
sp|E9PV82|FA53A_MOUSE,7RRO_n
sp|E9PXB6|SFTA2_MOUSE,3DAD_A
sp|E9Q1P8|I2BP2_MOUSE,2CS3_A
sp|E9Q4J9|AGRF2_MOUSE,7D76_R
sp|E9Q5G3|KIF23_MOUSE,5MIO_C
sp|E9Q5K4|CP2CN_MOUSE,6VLT_F
sp|E9Q6E9|SIMC1_MOUSE,7NRC_A
sp|E9Q6Z5|AUNIP_MOUSE,3CQX_D
sp|E9Q7F2|RN169_MOUSE,5VEY_C
sp|E9Q7G0|NUMA1_MOUSE,6HC2_N
sp|E9Q8T2|PRD15_MOUSE,6QNX_C
