query_id,best_hit,best_evalue,best_score,score_mean,score_std,score_gmean
sp|A0A087WPF7|AUTS2_MOUSE,5XPD_A,11.0,37.13,nan,nan,nan
sp|A0A087WRI3|CFA77_MOUSE,7RRO_2,74.0,33.93,nan,nan,nan
sp|A0A087WRU1|RDIC1_MOUSE,6VC7_B,170.0,27.07,nan,nan,nan
sp|A0A0B4J1F4|ARRD4_MOUSE,4LL1_A,2.2e-34,222.7,172.33,36.02,167.41
sp|A0A0B4J1N3|GP15L_MOUSE,6ID1_q,11.0,26.14,nan,nan,nan
sp|A0A0G2JDV3|GBP6_MOUSE,1F5N_A,1.5e-84,584.81,305.67,117.00,282.73
sp|A0A0U1RQ45|TM275_MOUSE,6SEQ_A,260.0,31.11,nan,nan,nan
sp|A0A140LIT1|CC194_MOUSE,4RH7_A,2.9,46.38,nan,nan,nan
sp|A0A1B0GQX3|CTXD2_MOUSE,7KDP_B,54.0,29.61,nan,nan,nan
sp|A0A1D5RMD1|IQCN_MOUSE,7JU4_x,3.6e-06,102.56,94.17,5.93,93.98
sp|A0A1L1SUL6|TXND6_MOUSE,7JTK_i,8e-20,168.19,73.23,19.13,71.23
sp|A0A5F8MPU3|CTSRT_MOUSE,7NRC_A,170.0,39.16,nan,nan,nan
sp|A0A5K7RLP0|MEIOS_MOUSE,6UPL_H,0.17,52.77,nan,nan,nan
sp|A0A6I8MX38|TUG1_MOUSE,6XIW_A,1000.0,24.71,nan,nan,nan
sp|A0A804C8T0|HAPR2_MOUSE,6C14_C,40.0,30.09,nan,nan,nan
sp|A0AUV4|SMKY_MOUSE,6C9D_A,1.6e-45,310.92,246.59,16.77,246.04
sp|A0JLY1|CF210_MOUSE,7RRO_p,1.6e-84,634.57,345.79,239.44,261.65
sp|A0JNT9|BICL1_MOUSE,6F1U_X,1.2e-97,731.65,455.31,159.81,432.56
sp|A0JP43|EFCB5_MOUSE,7JTK_D,1.3e-36,336.22,336.22,0.00,336.22
sp|A1EGX6|FSCB_MOUSE,6ZMW_g,400.0,34.83,nan,nan,nan
sp|A1KXC4|FCMR_MOUSE,5OR7_C,5.3e-05,58.91,nan,nan,nan
sp|A1L0T3|SRB4D_MOUSE,5ZE3_B,2.9e-35,262.68,105.90,67.68,92.00
sp|A1L317|K1C24_MOUSE,3UF1_D,4.6e-13,93.68,74.23,11.61,73.28
